coarse_template,frequency,template_length,cluster,unique_nsi_count,example_nsi_captions,subcluster,subcluster_id
NOUN,2739,1,1,242,Narrator | Man | LAUGHS | LAUGHTER | APPLAUSE,1,1.1
NOUN + VERB,717,2,1,301,MUSIC PLAYING | horns honking | boat sounds | audience applauding | audience laughing,1,1.1
NOUN + NOUN,604,2,1,288,montage music | bell tones | baby whimpers | Laughter/Applause | PHONE RINGING,1,1.1
NOUN + CCONJ + NOUN,183,3,1,13,whooping and applause | Cheers and applause | Yasmine and Miles | CHEERS AND APPLAUSE | Laughter and applause,1,1.1
VERB + NOUN,177,2,1,110,"train whistle | cheering, applause | laughing fades | blows raspberry | bubbling noise",1,1.1
ADJ + NOUN + NOUN,77,3,1,65,gentle piano music | soft piano notes | pleasant bouncy music | cheerful piano music | gentle piano notes,1,1.1
ADJ + NOUN + VERB,60,3,1,44,MELLOW MUSIC PLAYS | Dramatic music plays | upbeat music continues | big cat snarling | instrumental music playing,1,1.1
NOUN + NOUN + VERB,58,3,1,40,"applause, whooping, cheering | printer whirring ceases | heart monitor beeping | CAR ENGINE ROARING | Organ music playing",1,1.1
NOUN + NOUN + NOUN,49,3,1,32,"cell phone ringing | hip hop music | laughter, cheering, applause | hip hop beat | Cash register dings",1,1.1
PROPN + NOUN + NOUN,33,3,1,15,peppy woodwind music | Green Shirt Guy | upbeat guitar music | lowkey jazz music | Eagle Dancer beatboxes,1,1.1
VERB + CCONJ + NOUN,29,3,1,4,cheering and applause | CHEERING AND APPLAUSE | Cheering and applause | laughing and hiccupping,1,1.1
NUM + NOUN,20,2,1,19,10 ft | 5 ft | 354 ft | one clap | 3 tablespoons,1,1.1
VERB + NOUN + VERB,19,3,1,12,"answering machine beeps | toned bell sounding | crowd groans, laughs | uplifting music crescendos | uplifting music plays",1,1.1
NOUN + NUM,19,2,1,15,Passenger 1 | Passenger 2 | Model 1 | Model 2 | Model 3,1,1.1
ADP + NOUN,18,2,1,6,as Harvey | off-key | under breath | in food | in Latin,1,1.1
VERB + NOUN + NOUN,17,3,1,13,Repeating sound waves | singing circus theme | dub step music | vibrating phone hums | mouthing whooshing sounds,1,1.1
NOUN + VERB + NOUN,16,3,1,14,Announcer reciting prayer: | cheery hold music | judge blows raspberry | MESSAGE SENT TONE | semolina clarified butter,1,1.1
NOUN + VERB + ADV,14,3,1,14,man speaks indistinctly | door creaks quietly | notes click repeatedly | dog barking fiercely | Dog barks softly,1,1.1
NOUN + NOUN + NOUN + VERB,12,4,1,4,hip-hop music playing | hip hop music begins | hip hop music continues | ADHD theme song plays,1,1.1
DET + NOUN,10,2,1,7,the soul | both groan | NO AUDIO | The End | A plate?,1,1.1
NOUN + NOUN + ADV,9,3,1,4,phone chiming repeatedly | crowd chattering indistinctly | woman caws playfully | Delta Blues Crooner,1,1.1
NOUN + NOUN + CCONJ + NOUN,8,4,1,6,audience cheers and applause | door opening and closing | audience applauds and cheers | audience claps and cheers | hands slapping and laughter,1,1.1
NOUN + ADV,8,2,1,8,exhales deeply | Answers well | chuckles nervously | Whispers indistinctly | chuckles delightedly,1,1.1
ADJ + ADJ + NOUN + NOUN,7,4,1,7,soft playful piano notes | flashy big band music | mellow acoustic guitar music | cheery synth music returns | dreamy orchestral piano music,1,1.1
ADP + NUM + NOUN,7,3,1,1,as Two-Face,1,1.1
NOUN + NOUN + ADP + NOUN,7,4,1,6,pen brushing across canvas | Bomb craters from war | pig charges into fence | radio announcer in progress | group chats in background,1,1.1
NOUN + VERB + ADP + NOUN,7,4,1,7,equipment clinking against rocks | fingers sliding on canvas | Hooves clicking in rhythm | player interacting with envirionment | paper flapping in wind,1,1.1
PROPN + NOUN + VERB,7,3,1,5,"jungle birds chirping | fist roll sounds | harp music plays | Thud, kids scream | knife blade snaps",1,1.1
NOUN + VERB + CCONJ + VERB,6,4,1,4,audience laughing and cheering | audience applauding and cheering | insects chirping and buzzing | audience laughing and booing,1,1.1
VERB + NOUN + ADP + NOUN,6,4,1,6,drops tray on table | PLAY FLOWERS LIKE INSTRUMENTS | LOOPS SPEECH IN SAMPLER | LOOPING VOICE IN SAMPLER | LOOPS VOICE IN SAMPLER,1,1.1
NOUN + CCONJ + VERB,6,3,1,2,laughter and cheering | applause and cheering,1,1.1
NOUN + ADV + VERB,6,3,1,3,Gavel gently tapping | Gavel Gently tapping | Gavel gently bangs,1,1.1
ADJ + NOUN + NOUN + NOUN,6,4,1,5,"big impact sound effect | ""Good Omens"" theme plays | ""Stranger Things"" theme plays | BIGHIT MUSIC producer Pdogg | high-pitch voice GRIAN",1,1.1
NOUN + ADP + NOUN,5,3,1,5,Bethany on phone | footsteps on rocks | degree of difficulty | Muzak in background | Man In Car,1,1.1
PROPN + CCONJ + NOUN + NOUN,4,4,1,2,Kelly and crowd laughs | Marshmello and Annie - Friends,1,1.1
ADJ + NOUN + NOUN + VERB,4,4,1,4,quiet fiddle music playing | Classical piano music playing | soft orchestra music plays | sad orchestra music resumes,1,1.1
X + NOUN,4,2,1,2,j-hope | ♪ ♪,1,1.1
NOUN + VERB + ADJ,4,3,1,4,"door whooshes open | door squeaks open | door clicks open | Audience shouting ""False!""",1,1.1
NOUN + ADJ + NOUN,3,3,1,3,Woman Red Top | Guy Purple Shirt | Trance-like moaning,1,1.1
NOUN + VERB + NOUN + VERB,3,4,1,2,"mimics muffled robot sounds | objects snapping, people cry",1,1.1
NOUN + VERB + VERB,3,3,1,3,"glasses beeping, whirring | towers whirring, droning | door opens, closes",1,1.1
NOUN + ADJ + NOUN + NOUN,3,4,1,3,"bass-heavy dance music | bass-heavy upbeat music | ""X-Men"" theme plays",1,1.1
ADP + NOUN + NOUN + VERB,3,4,1,2,Up-tempo music plays | Down-tempo music plays,1,1.1
ADJ + ADP + NOUN + NOUN + NOUN,3,5,1,1,Close-up cam footage playing,1,1.1
ADJ + ADJ + ADJ + NOUN + NOUN,3,5,1,1,smooth uptempo melodic jazz music,1,1.1
