fps_original_index,fps_selection_order,video_id,start_time,end_time,video_link,caption,general_nsi,music_nsi,environmental_nsi,extraspeech_nsi,additionalnarrative_nsi,quotedspeech_nsi,misc_nsi,nonenglish_captions,nsi_text,coarse_template,fine_template,caption_id,word_count,char_count,avg_word_length,pos_sequence,mean_lexical_frequency
0,1,__5k7e0f3r4,187.562,190.312,https://www.youtube.com/watch?v=__5k7e0f3r4&t=187,(cheerful music),1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,cheerful music,ADJ + NOUN,JJ + NN,0,2,16,7.5,ADJ NOUN,4.56
3585,2,gPttEzhI_K4,65.03,69.67,https://www.youtube.com/watch?v=gPttEzhI_K4&t=65,"(The Philippines has an estimated 14 million to 17 million indigenous people, belonging to 110 ethno-linguistic groups.)",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"The Philippines has an estimated 14 million to 17 million indigenous people, belonging to 110 ethno-linguistic groups.",DET + NOUN + VERB + DET + VERB + NUM + NUM + PART + NUM + NUM + ADJ + NOUN + VERB + ADP + NUM + NOUN + ADJ + NOUN,DT + NNS + VBZ + DT + VBN + CD + CD + TO + CD + CD + JJ + NNS + VBG + IN + CD + NN + JJ + NNS,3585,17,120,6.117647058823529,DET NOUN VERB DET VERB NUM NUM PART NUM NUM ADJ NOUN VERB ADP NUM NOUN ADJ NOUN,5.392352941176472
3590,3,gPttEzhI_K4,80.035,83.895,https://www.youtube.com/watch?v=gPttEzhI_K4&t=80,"(Bimboy founded Tribu Ni Bro in 2008, after an outreach trip to a tribal region opened his eyes to their needs.)",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"Bimboy founded Tribu Ni Bro in 2008, after an outreach trip to a tribal region opened his eyes to their needs.",PROPN + VERB + NOUN + ADP + PROPN + ADP + NUM + SCONJ + DET + NOUN + NOUN + ADP + DET + ADJ + NOUN + VERB + PRON + NOUN + ADP + PRON + NOUN,NNP + VBD + NN + IN + NNP + IN + CD + IN + DT + NN + NN + IN + DT + JJ + NN + VBD + PRP$ + NNS + IN + PRP$ + NNS,3590,21,112,4.380952380952381,PROPN VERB NOUN ADP PROPN ADP NUM SCONJ DET NOUN NOUN ADP DET ADJ NOUN VERB PRON NOUN ADP PRON NOUN,5.096666666666668
2528,4,CMc8l4aTZRQ,15.4,20.533,https://www.youtube.com/watch?v=CMc8l4aTZRQ&t=15,(About 450km wide and around 400 jars have been discovered),1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,About 450km wide and around 400 jars have been discovered,ADV + NUM + NOUN + ADJ + CCONJ + ADV + NUM + NOUN + AUX + AUX + VERB,RB + CD + NN + JJ + CC + RB + CD + NNS + VBP + VBN + VBN,2528,10,59,5.0,ADV NUM NOUN ADJ CCONJ ADV NUM NOUN AUX AUX VERB,4.909
3586,5,gPttEzhI_K4,69.67,74.75,https://www.youtube.com/watch?v=gPttEzhI_K4&t=69,"(Access to education, nutrituous meals, and jobs is a challenge for those living in remote regions.)",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"Access to education, nutrituous meals, and jobs is a challenge for those living in remote regions.",NOUN + ADP + NOUN + ADJ + NOUN + CCONJ + NOUN + AUX + DET + NOUN + ADP + PRON + VERB + ADP + ADJ + NOUN,NN + IN + NN + JJ + NNS + CC + NNS + VBZ + DT + NN + IN + DT + VBG + IN + JJ + NNS,3586,16,100,5.3125,NOUN ADP NOUN ADJ NOUN CCONJ NOUN AUX DET NOUN ADP PRON VERB ADP ADJ NOUN,5.504375
6185,6,O0SOK-_5owA,1250.2,1252.2,https://www.youtube.com/watch?v=O0SOK-_5owA&t=1250,"[What's the mature one, FUMA's specialty?]",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"What's the mature one, FUMA's specialty?",PRON + AUX + DET + ADJ + NOUN + PROPN + PART + NOUN,WP + VBZ + DT + JJ + NN + NNP + POS + NN,6185,6,42,6.166666666666667,PRON AUX DET ADJ NOUN PROPN PART NOUN,4.595
6244,7,O0SOK-_5owA,2226.233,2229.3,https://www.youtube.com/watch?v=O0SOK-_5owA&t=2226,[YEJUN was a bit late to raise his hand],1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,YEJUN was a bit late to raise his hand,PROPN + AUX + DET + NOUN + ADJ + PART + VERB + PRON + NOUN,NNP + VBD + DT + NN + JJ + TO + VB + PRP$ + NN,6244,9,40,3.555555555555556,PROPN AUX DET NOUN ADJ PART VERB PRON NOUN,5.4433333333333325
4539,8,JL9H5PoVqJg,634.9,637.97,https://www.youtube.com/watch?v=JL9H5PoVqJg&t=634,[ ♪♪♪ ],1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,♪♪♪,X + X + X,ADD + ADD + ADD,4539,3,7,1.6666666666666667,X X X,1.1033333333333333
6136,9,O0SOK-_5owA,803.5,804.966,https://www.youtube.com/watch?v=O0SOK-_5owA&t=803,[He can't hide a tremor in his voice],1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,He can't hide a tremor in his voice,PRON + AUX + PART + VERB + DET + NOUN + ADP + PRON + NOUN,PRP + MD + RB + VB + DT + NN + IN + PRP$ + NN,6136,8,37,3.75,PRON AUX PART VERB DET NOUN ADP PRON NOUN,5.78625
6163,10,O0SOK-_5owA,1028.1,1031.873,https://www.youtube.com/watch?v=O0SOK-_5owA&t=1028,[Who will show off their charm first?],1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Who will show off their charm first?,PRON + AUX + VERB + ADP + PRON + NOUN + ADV,WP + MD + VB + RP + PRP$ + NN + RB,6163,7,38,4.571428571428571,PRON AUX VERB ADP PRON NOUN ADV,5.8514285714285705
